Part References,Manufacturer Part Number,Manufacturer Name,Vendor Part Number,Description,Quantity Min
R12/R13/R14/R15/R16/R17,742C083101JPTR,CTS Resistor Products,742C083101JPTR-ND,RES ARRAY 100 OHM 8TERM 4RES SMD,6
R7,742C083103JPTR,CTS Resistor Products,742C083103JPCT-ND,RES ARRAY 10K OHM 8TERM 4RES SMD,1
B1,748421245,Wurth Electronics Inc,732-2230-6-ND,BALUN EMBER351 & 357 0805 SMD,1
ANT1,479480001,Molex,WM4893DKR-ND,ANTENNA 2.4GHZ 50 OHMS SMD,1
U3,ATMEGA128RFA1-ZUR,Atmel,ATMEGA128RFA1-ZU-ND,IC AVR MCU 2.4GHZ XCEIVER 64QFN,1
D1/D14/D15,B150B-13-F,Diodes Inc,B150B-FDIDKR-ND,DIODE SCHOTTKY 50V 1A SMB,3
C1/C2/C18/C19,C1608C0G1H390J,TDK,445-1276-2-ND,CAP CER 39PF 50V 5% NP0 0603,4
C3/C4/C5/C6,C3216Y5V1H475Z,TDK Corporation,445-3472-2-ND,CAP CER 4.7UF 50V Y5V 1206,4
C9/C12/C13/C14/C15/C16/C17,CC0603MRY5V9BB104,Yageo,311-1366-2-ND,CAP CERAMIC .1UF 50V Y5V 0603,7
Q1,ECS-160-20-3X-TR,ECS,XC1776DKR-ND,CRYSTAL 16.00000 MHZ 20PF SMD,1
SW1,EVQ-PSD02K,Panasonic,P8088SDKR-ND,SWITCH TACTILE SPST-NO 0.05A 12V,1
U4,FT231XS-R,FTDI,768-1129-6-ND,IC USB SERIAL FULL UART SSOP-20,1
C7/C8/C10/C11,GQM1885C1H220JB01D,Murata Electronics,490-3575-2-ND,CAP CER 22PF 50V 5% C0G 0603,4
C20,GRM188R71H103KA01D,Murata,490-1512-2-ND,CAP CER 10000PF 50V 10% X7R 0603,1
L/PWR,LTST-C193KGKT-5A,Lite-On Inc,859-LTSTC193KGKT5A,LED GREEN RECT CLEAR 0603,2
CHG/RFRX/RFTX/RX/TX,LTST-C193KRKT-5A,Lite-On Inc,160-1830-6-ND,LED RED RECT CLEAR 0603,5
U7,MCP73831T-2ACI/OT,Microchip,MCP73831T-2ACI/OTDKR-ND,IC CONTROLLR LI-ION 4.2V SOT23-5,1
F2,MF-MSMF050-2,Bourns Inc.,MF-MSMF050-2CT-ND,PTC RESETTABLE .50A 15V 1812,1
L1,MI0805K400R-10,Laird,240-2389-6-ND,FERRITE 1.5A 40 OHM 0805 SMD,1
U1,MIC2954-03WS-TR,Micrel Inc,576-1154-6-ND,IC REG LDO 250MA 5V 1.0% SOT223,1
U2,MIC5201-3.3YS TR,Micrel Inc,576-1251-6-ND,IC REG LDO 200MA 3.3V 1% SOT223,1
X1,PJ-002AH-SMT,CUI Inc,CP-002AHPJCT-ND,CONN POWER JACK 2.1X5.5MM HI CUR,1
R2,RC0603FR-072KL,Yageo,311-2.00KHRTR-ND,RES 2.00K OHM 1/10W 1% 0603 SMD,1
R3,RC0603FR-07330RL,Yageo,311-330HRTR-ND,RES 330 OHM 1/10W 1% 0603 SMD,1
R4/R5,RC0603JR-0727RL,Yageo,311-27GRTR-ND,311-27GRTR-ND,2
R8/R9/R1/R6/R11,RMCF0603FT10K0,Stackpole Electronics Inc,RMCF0603FT10K0TR-ND,RES 10K OHM 1/10W 1% 0603 SMD,5
R10,RMCF0603FT12K0,Stackpole Electronics,RMCF0603FT12K0TR-ND,RES 12K OHM 1/10W 1% 0603 SMD,1
JP1,S2B-PH-SM4-TB(LF)(SN),JST Sales America Inc,455-1749-6-ND,CONN HEADER PH SIDE 2POS 2MM SMD,1
D2/D3/D4/D5/D6/D7/D8/D9/D10/D11/D12/D13,SD103ASDM-7,Diodes Inc,SD103ASDM-FDITR-ND,DIODE SCHOTTKY ARRAY 40V SOT26,12
U6,SN74LVC1G17DBVR,Texas Instruments,296-11933-6-ND,IC BUFFER SCHMIT TRIG SOT235,1
