Manufacturer Part Number,Description,Qty-1,Part References,Value
B150B-13-F,DIODE SCHOTTKY 50V 1A SMB,3,"D1, D14, D15",
MI0805K400R-10,FERRITE 1.5A 40 OHM 0805 SMD,1,L1,
S2B-PH-SM4-TB(LF)(SN),CONN HEADER PH SIDE 2POS 2MM SMD,1,JP1,
742C083102JPTR,RES ARRAY 1K OHM 8TERM 4RES SMD,1,R7,1K
RMCF0603FT1K00,RES 1K OHM 1/10W 1% 0603 SMD,4,"R3, R6, R8, R9",1K
ERJ-3EKF1004V,RES 1.00M OHM 1/10W 1% 0603 SMD,1,R11,1M
ERJ-3EKF1204V,RES 1.20M OHM 1/10W 1% 0603 SMD,1,R10,1M2
RC0603FR-072KL,RES 2.00K OHM 1/10W 1% 0603 SMD,1,R2,2K
C3216Y5V1H475Z,CAP CER 4.7UF 50V Y5V 1206,4,"C3, C4, C5, C6",4.7 uF
RMCF0603FT10K0,RES 10K OHM 1/10W 1% 0603 SMD,1,R1,10k
GRM188R71H103KA01D,CAP CER 10000PF 50V 10% X7R 0603,1,C20,10n
ECS-160-20-3X-TR,CRYSTAL 16.00000 MHZ 20PF SMD,1,Q1,16 MHz
GQM1885C1H220JB01D,CAP CER 22PF 50V 5% C0G 0603,2,"C10, C11",22p
RC0603JR-0727RL,311-27GRTR-ND,2,"R4, R5",27R
C1608C0G1H390J,CAP CER 39PF 50V 5% NP0 0603,4,"C1, C2, C18, C19",39p
SN74LVC1G17DBVR,IC BUFFER SCHMIT TRIG SOT235,1,U6,74LVC1G17DBV
742C083101JPTR,RES ARRAY 100 OHM 8TERM 4RES SMD,6,"R12, R13, R14, R15, R16, R17",100R
CC0603MRY5V9BB104,CAP CERAMIC .1UF 50V Y5V 0603,7,"C9, C12, C13, C14, C15, C16, C17",100n
MF-MSMF050-2,PTC RESETTABLE .50A 15V 1812,1,F2,500mA
ATMEGA128RFA1-ZUR,IC AVR MCU 2.4GHZ XCEIVER 64QFN,1,U3,ATMEGA128RFA1
EVQ-PSD02K,SWITCH TACTILE SPST-NO 0.05A 12V,1,SW1,EVQ-PSD02K
FT231XS-R,IC USB SERIAL FULL UART SSOP-20,1,U4,FT231XS-R
LTST-C193KGKT-5A,LED GREEN RECT CLEAR 0603,2,"L, PWR",GRN
961206-6404-AR,CONN HEADER VERT DUAL 6POS GOLD,0,ICSP(DNP),ICSP
MCP73831T-2ACI/OT,IC CONTROLLR LI-ION 4.2V SOT23-5,1,U7,MCP73831
MIC2954-03WS-TR,IC REG LDO 250MA 5V 1.0% SOT223,1,U1,MIC2954
MIC5201-3.3YS TR,IC REG LDO 200MA 3.3V 1% SOT223,1,U2,MIC5201-3.3YS TR
479480001,ANTENNA 2.4GHZ 50 OHMS SMD,1,ANT1,MOLEX-ANT
PJ-002AH-SMT,CONN POWER JACK 2.1X5.5MM HI CUR,1,X1,PJ002A-SMT
LTST-C193KRKT-5A,LED RED RECT CLEAR 0603,5,"CHG, RFRX, RFTX, RX, TX",RED
SD103ASDM-7,DIODE SCHOTTKY ARRAY 40V SOT26,12,"D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13",SD103ASDM
20236,MINI USB CONNECTOR ,1,USB,USB-MB-S
748421245,BALUN EMBER351 & 357 0805 SMD,1,B1,WUERTH-748421245
